Diarienummer,Anordnare namn,Utbildningsnamn,Utbildningsområde,Belsut år 2020 april antal beviljade platser 2020,Beslut år 2020 april antal beviljade platser 2021,Beslut år 2020 Juli antal beviljade platser 2020,Beslut år 2021 antal beviljade platser 2021,Beslut år 2021 antal beviljade  platser 2022,Beslut år 2022 antal beviljade platser 2022,Beslut år 2022 antal beviljade platser 2023,Beslut år 2023 antal beviljade platser utökad-anslag 2023,Beslut år 2023 antal beviljade platser utökad-anslag 2024,Beslut år 2023 antal beviljade platser 2023,Beslut år 2023 antal beviljade platser 2024,Beslut år 2024 antal beviljade platser start 2024,Beslut år 2024 antal beviljade start och avslut 2024,Beslut år 2024 antal beviljade start 2025,YH-poäng,Kommun,Län,FA-region,Antal kommuner,Antal län,Antal FA-regioner
MYH 2023/1215,Båstad kommun Akademi Båstad,Ekosystemtjänster i praktiken,"Lantbruk, djurvård, trädgård, skog och fiske",0,0,0,0,0,0,0,0,0,30,30,0,0,0,50,Båstad,Skåne,Malmö-Lund,1,1,1
MYH 2023/1220,NBI i Sverige AB ,Sustainable Procurement,"Ekonomi, administration och försäljning",0,0,0,0,0,0,0,0,0,40,40,0,0,0,50,Malmö,Skåne,Malmö-Lund,1,1,1
MYH 2023/1230,IHM Business School AB Malmö,Digitalisering och hållbarhet inom redovisning,"Ekonomi, administration och försäljning",0,0,0,0,0,0,0,0,0,0,40,0,0,0,30,Malmö,Skåne,Malmö-Lund,1,1,1
MYH 2023/1233,Plushögskolan AB - Teknikhögskolan,GMP- Good Manufacturing Practice,Teknik och tillverkning,0,0,0,0,0,0,0,0,0,40,50,0,0,0,30,"Se ""Lista flera kommuner""","Se ""Lista flera kommuner""","Se ""Lista flera kommuner""",1,4,4
MYH 2023/1234,Företagsuniversitetet AB,Cybersäkerhet,Data/IT,0,0,0,0,0,0,0,0,0,0,120,0,0,0,15,Stockholm,Stockholm,Stockholm,1,1,1
MYH 2023/1235,Företagsuniversitetet AB,Ledning och samordning av informations- och cybersäkerhet,Data/IT,0,0,0,0,0,0,0,0,0,0,100,0,0,0,32,Stockholm,Stockholm,Stockholm,1,1,1
MYH 2023/1238,Företagsuniversitetet AB,Att bygga en informationssäkerhetskultur,Säkerhetstjänster,0,0,0,0,0,0,0,0,0,30,60,0,0,0,20,Stockholm,Stockholm,Stockholm,1,1,1
MYH 2023/1240,"Kunskapsförbundet Väst, Vuxenutbildningen",NPF - neuropsykiatriska funktionsnedsättningar,Pedagogik och undervisning,0,0,0,0,0,0,0,0,0,35,70,0,0,0,50,Vänersborg,Västra Götaland,Trollhättan-Vänersborg,1,1,1
MYH 2023/1242,Företagsuniversitetet AB,Säkerhetsskyddad upphandling,"Ekonomi, administration och försäljning",0,0,0,0,0,0,0,0,0,40,80,0,0,0,15,Stockholm,Stockholm,Stockholm,1,1,1
MYH 2023/1244,Företagsuniversitetet AB,Säkerhetsskyddssamordning,Säkerhetstjänster,0,0,0,0,0,0,0,0,0,60,120,0,0,0,60,Stockholm,Stockholm,Stockholm,1,1,1
MYH 2023/1250,Hyper Island Program AB - Karlskrona,UX Design,Data/IT,0,0,0,0,0,0,0,0,0,55,55,0,0,0,80,Karlskrona,Blekinge,Karlskrona,1,1,1
