Anordnare standard,Anordnare namn,Utbildningsområde,Totalt beviljade platser 2020,Totalt beviljade platser 2021,Totalt beviljade platser 2022,Totalt beviljade platser 2023,Totalt beviljade platser 2024,Totalt beviljade platser 2025,Antal kommuner,Anordnare ren
IHM Business School AB,IHM Business School AB Göteborg,"Ekonomi, administration och försäljning",105,230,475,500,980,780,45,ihm business school
IHM Business School AB,IHM Business School AB Göteborg,"Hotell, restaurang och turism",60,70,140,140,80,40,8,ihm business school
IHM Business School AB,IHM Business School AB Göteborg,Journalistik och information,0,0,0,0,0,0,1,ihm business school
IHM Business School AB,IHM Business School AB Malmö,Data/IT,30,0,0,0,0,0,1,ihm business school
IHM Business School AB,IHM Business School AB Malmö,"Ekonomi, administration och försäljning",0,0,75,190,120,0,5,ihm business school
IHM Business School AB,IHM Business School AB Stockholm,"Ekonomi, administration och försäljning",70,50,115,390,80,0,10,ihm business school
IHM Business School AB,IHM Business School AB Stockholm,"Hotell, restaurang och turism",0,0,0,40,40,0,1,ihm business school
IHM Business School AB,IHM Business School AB Stockholm,Journalistik och information,0,0,0,40,40,0,1,ihm business school
INSU AB,INSU AB,Samhällsbyggnad och byggteknik,70,140,70,70,70,120,9,insu
INSU AB,INSU AB,Teknik och tillverkning,0,0,0,0,0,50,1,insu
IT-Högskolan Sverige AB,IT-Högskolan Stockholm AB,Data/IT,80,50,0,45,50,0,7,it högskolan
IT-Högskolan Sverige AB,IT-Högskolan Stockholm AB,"Ekonomi, administration och försäljning",0,0,0,50,0,0,3,it högskolan
IT-Högskolan Sverige AB,IT-Högskolan Stockholm AB,Juridik,0,0,0,0,0,0,1,it högskolan
IT-Högskolan Sverige AB,IT-Högskolan Sverige AB,Data/IT,45,20,40,305,440,180,20,it högskolan sverige
IT-Högskolan Sverige AB,IT-Högskolan Sverige AB,"Ekonomi, administration och försäljning",0,0,0,0,0,0,2,it högskolan sverige
"ITH, Institutet För Tillämpad Hydraulik","ITH, Institutet För Tillämpad Hydraulik",Teknik och tillverkning,0,0,0,0,25,25,1,ith
Idé & Resurscentrum i Ljungby AB,Idé & Resurscentrum i Ljungby AB,Teknik och tillverkning,0,8,18,0,0,0,1,idé & resurscentrum i
Idéutvecklarna AB,Idéutvecklarna AB,"Hotell, restaurang och turism",0,0,0,0,60,60,2,idéutvecklarna
Iris Hadar AB,Iris Hadar AB,"Lantbruk, djurvård, trädgård, skog och fiske",0,0,0,0,0,0,1,iris hadar
Iris Hadar AB,Iris Hadar AB,Samhällsbyggnad och byggteknik,0,0,0,30,0,0,1,iris hadar
Iterum Education AB,Iterum Education,"Ekonomi, administration och försäljning",70,70,0,0,0,0,2,iterum education
Iterum Education AB,Iterum Education AB,"Ekonomi, administration och försäljning",0,0,0,70,35,35,3,iterum education
JAG Utbildning AB,JAG Utbildning AB,"Ekonomi, administration och försäljning",0,30,60,30,30,30,3,jag utbildning
JAG Utbildning AB,JAG Utbildning AB,Hälso- och sjukvård samt socialt arbete,0,0,0,180,0,0,3,jag utbildning
JENSEN Education School AB,JENSEN Education School AB,"Ekonomi, administration och försäljning",0,0,0,35,105,70,3,jensen education school
JENSEN Education School AB,JENSEN Education School AB,Samhällsbyggnad och byggteknik,0,0,35,105,70,35,4,jensen education school
John Ericsson Institutet,John Ericsson Institutet,"Ekonomi, administration och försäljning",0,0,0,0,40,40,1,john ericsson institutet
John Ericsson Institutet,John Ericsson Institutet,Samhällsbyggnad och byggteknik,160,160,180,420,314,99,22,john ericsson institutet
John Ericsson Institutet,John Ericsson Institutet,Teknik och tillverkning,0,0,0,0,0,0,1,john ericsson institutet
KYH AB,KYH AB,Data/IT,0,0,0,0,35,35,1,kyh
KYH AB,KYH AB,"Ekonomi, administration och försäljning",0,0,0,0,0,0,1,kyh
KYH AB,KYH AB,Samhällsbyggnad och byggteknik,30,0,0,0,67,67,15,kyh
KYH AB,KYH AB,Teknik och tillverkning,0,0,0,0,0,0,2,kyh
KYH AB,KYH AB Göteborg,Teknik och tillverkning,0,0,0,30,30,0,1,kyh
KYH AB,KYH AB Malmö,Samhällsbyggnad och byggteknik,0,0,30,90,60,0,3,kyh
KYH AB,KYH AB Stockholm,"Ekonomi, administration och försäljning",0,0,0,30,0,0,1,kyh
KYH AB,KYH AB Stockholm,Samhällsbyggnad och byggteknik,0,0,0,30,30,0,1,kyh
Karlskoga kommun,Karlskoga kommun,Teknik och tillverkning,0,0,0,0,90,90,3,karlskoga
Karlskoga kommun/Vuxnas lärande,Karlskoga kommun/Vuxnas lärande,Teknik och tillverkning,0,0,0,20,40,0,1,karlskoga vuxnas lärande
Karlsson Climate AB,Karlsson Climate AB,Teknik och tillverkning,20,25,0,0,0,0,1,karlsson climate
"Kartotek, Kart- och teknikutbildarna i Haninge AB","Kartotek, Kart- och teknikutbildarna i Haninge AB",Samhällsbyggnad och byggteknik,0,0,40,245,230,0,7,kartotek
KompetensUtvecklingsInstitutet Sverige AB,KompetensUtvecklingsInstitutet Sverige AB,Hälso- och sjukvård samt socialt arbete,0,95,275,395,405,255,20,kompetensutvecklingsinstitutet sverige
KompetensUtvecklingsInstitutet Sverige AB,KompetensUtvecklingsInstitutet Sverige AB,Pedagogik och undervisning,0,0,35,150,0,0,5,kompetensutvecklingsinstitutet sverige
KompetensUtvecklingsInstitutet Sverige AB,KompetensUtvecklingsinstitutet Sverige AB,Hälso- och sjukvård samt socialt arbete,120,60,0,0,0,0,12,kompetensutvecklingsinstitutet sverige
"Kramfors kommun, Yrkeshögskolan Höga kusten","Kramfors kommun, Yrkeshögskolan Höga kusten",Hälso- och sjukvård samt socialt arbete,10,10,0,0,0,0,1,kramfors
"Kristianstad kommun, Vuxenutbildningen","Kristianstad kommun, Vuxenutbildningen",Teknik och tillverkning,0,0,30,0,0,0,1,kristianstad
Kunskap & Kompetens i Sverige AB,Kunskap & Kompetens i Sverige AB,"Ekonomi, administration och försäljning",100,30,0,30,30,0,4,kunskap & kompetens i sverige
Kunskap & Kompetens i Sverige AB,Kunskap & Kompetens i Sverige AB,Hälso- och sjukvård samt socialt arbete,0,0,25,50,0,0,1,kunskap & kompetens i sverige
"Kunskapsförbundet Väst, Vuxenutbildningen","Kunskapsförbundet Väst, Vuxenutbildningen",Hälso- och sjukvård samt socialt arbete,25,35,70,180,155,175,10,kunskapsförbundet väst
"Kunskapsförbundet Väst, Vuxenutbildningen","Kunskapsförbundet Väst, Vuxenutbildningen",Pedagogik och undervisning,0,0,35,70,70,0,2,kunskapsförbundet väst
Kunskapsgruppen Yrkeshögskola Sverige AB,Kunskapsgruppen Yrkeshögskola Sverige AB,Samhällsbyggnad och byggteknik,0,0,0,0,30,30,1,kunskapsgruppen yrkeshögskola sverige
Kunskapsgruppen Yrkeshögskola Sverige AB,Kunskapsgruppen Yrkeshögskola Sverige AB,Teknik och tillverkning,0,0,0,0,30,30,2,kunskapsgruppen yrkeshögskola sverige
Köpings kommun,Köpings kommun,Hälso- och sjukvård samt socialt arbete,0,0,0,180,0,0,6,köpings
Köpings kommun,Köpings kommun,Teknik och tillverkning,20,40,0,120,0,0,7,köpings
LAVI gruppen AB,LAVI gruppen AB,Teknik och tillverkning,0,0,0,0,0,0,1,lavi gruppen
"Landskrona Stad, Yrkeshögskolan Landskrona","Landskrona Stad, Yrkeshögskolan Landskrona",Hälso- och sjukvård samt socialt arbete,30,0,30,60,55,0,4,landskrona
Lernia Utbildning AB,Lernia Utbildning AB,Data/IT,49,24,0,0,0,0,4,lernia utbildning
Lernia Utbildning AB,Lernia Utbildning AB,Teknik och tillverkning,38,38,0,95,69,0,13,lernia utbildning
Lexicon Yrkeshögskola AB,Lexicon Yrkeshögskola AB,"Ekonomi, administration och försäljning",0,0,0,0,120,120,5,lexicon yrkeshögskola
Lexicon Yrkeshögskola AB,Lexicon Yrkeshögskola AB,Hälso- och sjukvård samt socialt arbete,0,0,0,0,50,50,2,lexicon yrkeshögskola
Lexicon Yrkeshögskola AB,Lexicon Yrkeshögskola AB,Pedagogik och undervisning,0,0,0,0,35,35,1,lexicon yrkeshögskola
Campus AB,Lidköpings kommun Campus Lidköping,"Ekonomi, administration och försäljning",0,30,0,0,0,0,1,lidköpings campus lidköping
Campus AB,Lidköpings kommun Campus Lidköping,"Kultur, media och design",30,20,0,0,0,0,2,lidköpings campus lidköping
